Бедье, Жозеф Шарль Мари	[' (1864—1938), французский филолог — ']	['II']	['329,631']
Безобразова	[' — ']	['IV']	['70']
Безыменский, Александр Ильич	[' (1898—1973), поэт — ']	['III']	['197,381,459,460']
Бёклин, Арнольд 	['(1827—1901), швейцарский художник — ']	['II']	['575']
Белавенец	[' — ']	['I']	['161']
Белинский, Виссарион Григорьевич	[' (1811—1848), критик, публицист — ']	['I', 'II']	['166,167', '375']
Белицкий, Ефим Яковлевич	[', издательский деятель — ']	['IV']	['54,72,79,84,381']
Белоконский	[', доктор — ']	['IV']	['38']
Белый, Андрей	[' (наст. имя Бугаев, Борис Николаевич; 1880—1934), поэт, прозаик — ']	['I', 'II', 'III']	['221', '236,237,255,257,260—263,275,290,291,320—322', '82—85,325—333,404']
Белявский, Сергей Иванович	[' (1883—1953), репетитор О. Мандельштама — ']	['II']	['370—373']
Бен (Бены)	[]	['']	[]
Бенкендорф (Закревская), Мария Игнатьевна	[' (1892—1974), переводчица, секретарь А. М. Горького — ']	['II']	['84']
Бенуа, Пьер	[' (1886—1962), французский писатель — ']	['II']	['443,604']
Беранже	[', сенатор, собственник газеты «Журналь» — ']	['II']	['429']
Бергсон, Анри	[' (1859—1941), французский философ — ']	['I']	['217,227']
Березнер	[' — ']	['IV']	['134']
Берлиц, Максимилиан	[' (1852—1921), американский педагог, автор «прямого» метода преподавания иностранных языков — ']	['III']	['199']
Бериш, Эрнст Вольфганг	[' (1738—1809), друг молодости Гете — ']	['III']	['292,293,417']
Бернштейн	[', автор письма в газету «Московский комсомолец» — ']	['II']	['527']
Берта	[' (ум. в 783), жена французского короля Пипина Короткого — ']	['II']	['139—141']
Бертула	[', собственник газеты «Либертэ» — ']	['II']	['428']
Бескин, Осип Мартынович	[' (1892—1969), критик, издательский работник — ']	['IV']	['95,388']
Бестужев-Марлинский, Александр Александрович	[' (1797—1837), писатель, декабрист — ']	['III']	['271,272']
Бетховен, Людвиг ван	[' (1770—1827), немецкий композитор — ']	['I', 'II', 'III', 'IV']	['109,110,204,247,248', '81,274,384,480,481,487,494,569,579', '87,147,368,383,386', '199']
Бизе, Жорж	[' (1838—1875), французский композитор — ']	['II']	['254']
Бион Смирнский,	[' греческий поэт II в. — ']	['II']	['278,626']
Бирон, Эрнст Иоганн	[' (1690—1772), временщик императрицы Анны Иоанновны — ']	['II']	['491']
Бисмарк, Отто Эдуард Леопольд фон Шёнгаузен	[' (1815—1898), германский госуд. деятель — ']	['II']	['373,374']
Благой, Дмитрий Дмитриевич	[' (1893—1984), литературовед — ']	['III', 'IV']	['173', '36,376']
Бласко Ибаньес, Висенте	[' (1867—1928), испанский писатель — ']	['II']	['446,452,638']
Блок, Александр Александрович	[' (1880—1921), поэт — ']	['I', 'II', 'III']	['155', '238,252—256,259,290,295,296,359,370,381,386', '229,368,405']
Блок, Жан-Ришар	[' (1884—1947), французский писатель —\xa0 ']	['II', 'III']	['450,451', '155,367,368']
Блох, Жан-Ришар	[]	['']	[]
Блох, Яков Ноевич	[' (1892—1968), владелец издательства «Петрополис» — ']	['IV']	['33,375']
Блюхер, Василий Константинович	[' (1889—1838), советский военный деятель — ']	['III']	['197']
